end_date,p_mm,start_date
1953-03-24,34.81840457848732,1953-03-24
1953-05-31,34.17523771937234,1953-05-31
1954-02-28,43.20424853472858,1954-02-28
1954-03-01,59.09407497302642,1954-03-01
1954-07-14,35.16893292607073,1954-07-14
1954-07-15,53.87555019054963,1954-07-15
1954-08-15,34.55951405333298,1954-08-15
1954-10-15,136.24857521552767,1954-10-15
1954-10-16,52.337121353159816,1954-10-16
1955-03-04,36.56887534674324,1955-03-04
1955-03-21,40.6405676563225,1955-03-21
1955-06-07,52.132890677162685,1955-06-07
1955-06-08,78.18436961885563,1955-06-08
1955-08-12,46.47188574598451,1955-08-12
1955-08-13,59.42086100641706,1955-08-13
1955-08-17,46.27071657034079,1955-08-17
1955-08-18,74.35081477902024,1955-08-18
1955-09-24,36.27779065196785,1955-09-24
1956-05-27,40.445761904047686,1956-05-27
1956-08-05,64.27936591909418,1956-08-05
1956-08-06,41.97420843847786,1956-08-06
1956-08-20,48.83390998112093,1956-08-20
1956-12-14,35.242087798677304,1956-12-14
1957-02-09,39.559543225300644,1957-02-09
1957-10-06,64.82399956111914,1957-10-06
1957-10-07,40.511557464354446,1957-10-07
1957-12-26,41.66438803752447,1957-12-26
1958-04-27,36.71169239644679,1958-04-27
1958-05-05,40.19308340775106,1958-05-05
1958-08-03,39.6181757500344,1958-08-03
1959-06-02,34.76461853788153,1959-06-02
1959-09-30,72.68872931831682,1959-09-30
1959-10-01,49.83987658114419,1959-10-01
1959-10-23,57.686838167138056,1959-10-23
1959-10-24,65.40030294082445,1959-10-24
1960-02-19,36.024333871974164,1960-02-19
1960-05-07,40.8004623973195,1960-05-07
1960-05-08,82.302101884931,1960-05-08
1960-07-14,38.76734017359393,1960-07-14
1960-09-11,42.50353516201827,1960-09-11
1961-02-08,33.544361319155726,1961-02-08
1962-03-05,37.81199068833337,1962-03-05
1962-03-06,45.895280708532276,1962-03-06
1962-07-03,40.360364957801735,1962-07-03
1963-03-04,45.1857201249121,1963-03-04
1963-03-05,42.457038549291624,1963-03-05
1963-03-19,37.18241108285142,1963-03-19
1963-06-03,38.61298870357448,1963-06-03
1963-11-07,45.20066923011922,1963-11-07
1964-02-19,34.919951633060016,1964-02-19
1964-04-29,74.10506033284568,1964-04-29
1964-07-13,44.46364163721895,1964-07-13
1964-08-31,48.78989643343048,1964-08-31
1964-09-20,39.54755795401894,1964-09-20
1964-09-29,48.99793696767959,1964-09-29
1965-03-05,49.29607815553438,1965-03-05
1965-09-12,36.0995564256109,1965-09-12
1966-02-13,39.60459267418189,1966-02-13
1966-04-13,34.93173503663727,1966-04-13
1966-09-14,57.64398951702785,1966-09-14
1966-09-20,47.09768006160369,1966-09-20
1966-11-28,38.24794924641902,1966-11-28
1967-03-05,40.57521288436009,1967-03-05
1967-03-06,56.928917591250546,1967-03-06
1967-03-07,49.853166760489195,1967-03-07
1967-05-07,53.42448279786581,1967-05-07
1967-07-11,41.25279132824702,1967-07-11
1967-09-29,44.97623338966643,1967-09-29
1968-03-12,34.375704425275515,1968-03-12
1968-05-24,66.42300859520205,1968-05-24
1968-10-19,39.96238708666453,1968-10-19
1969-08-10,41.513895125219264,1969-08-10
1970-04-02,33.901907445668684,1970-04-02
1970-07-09,44.637227038649414,1970-07-09
1970-08-23,50.339660938559476,1970-08-23
1970-10-30,36.249849053732746,1970-10-30
1970-12-22,43.03890399845799,1970-12-22
1971-01-01,51.149487943742194,1971-01-01
1971-05-06,36.24575939612788,1971-05-06
1971-09-12,35.710099096002835,1971-09-12
1971-10-24,40.252575012953706,1971-10-24
1972-03-13,47.134097511572506,1972-03-13
1972-06-21,34.76145319042332,1972-06-21
1972-06-22,65.81277025344326,1972-06-22
1972-06-23,61.33509709347672,1972-06-23
1972-06-29,39.25346549218377,1972-06-29
1972-10-06,53.94853212854659,1972-10-06
1972-10-07,38.68882811404384,1972-10-07
1972-11-08,43.251614012607575,1972-11-08
1972-12-09,44.49112541573941,1972-12-09
1972-12-22,35.29116313131938,1972-12-22
1973-02-02,36.616925720914196,1973-02-02
1973-06-18,38.56503051557885,1973-06-18
1973-08-01,37.759808345689095,1973-08-01
1973-10-29,75.24664374487742,1973-10-29
1974-06-01,37.5641394999097,1974-06-01
1974-06-23,34.240559069751704,1974-06-23
1974-12-02,80.10195638996262,1974-12-02
1975-04-25,39.425734397336214,1975-04-25
1975-05-04,36.03391766459707,1975-05-04
1975-08-14,38.05506082479405,1975-08-14
1975-08-31,60.74316174826986,1975-08-31
1975-10-18,48.32733126334477,1975-10-18
1976-01-01,40.690505144207584,1976-01-01
1976-06-20,37.47428289708602,1976-06-20
1976-08-08,37.616926370869635,1976-08-08
1976-09-16,38.209872396788505,1976-09-16
1976-10-01,54.48047987609619,1976-10-01
1976-10-08,46.17726435247127,1976-10-08
1976-10-09,65.9256371422205,1976-10-09
1976-12-07,37.23981181526726,1976-12-07
1977-03-13,46.35587483008414,1977-03-13
1978-01-20,36.627227906376405,1978-01-20
1978-03-26,43.0029225821563,1978-03-26
1978-05-14,46.16449016660941,1978-05-14
1978-07-03,61.46804985781814,1978-07-03
1978-08-31,59.94092463760968,1978-08-31
1978-12-04,34.04881201791767,1978-12-04
1978-12-25,41.20416683863853,1978-12-25
1979-01-21,46.83460015205945,1979-01-21
1979-05-24,36.88002682147941,1979-05-24
1979-07-05,34.66140024175282,1979-07-05
1979-08-12,35.9341488722755,1979-08-12
1979-09-06,52.00497724182462,1979-09-06
1979-09-22,39.11524644728317,1979-09-22
1980-04-09,50.04727795149211,1980-04-09
1980-05-21,47.61055689020775,1980-05-21
1980-06-16,38.30923124893811,1980-06-16
1980-07-08,39.49256086510837,1980-07-08
1980-07-09,47.468110826729664,1980-07-09
1980-07-29,37.177566528420805,1980-07-29
1980-08-18,47.790623735169596,1980-08-18
1980-10-25,41.570661286420645,1980-10-25
1981-04-12,42.97706584646242,1981-04-12
1981-04-13,51.0819999194622,1981-04-13
1981-06-20,33.85175675305945,1981-06-20
1981-10-27,52.46512754554673,1981-10-27
1982-06-04,38.472909972389814,1982-06-04
1982-07-03,54.01792243225121,1982-07-03
1983-04-23,36.1463248063306,1983-04-23
1983-04-24,38.31941937983051,1983-04-24
1984-02-14,37.66164792023654,1984-02-14
1984-03-28,45.44598071110393,1984-03-28
1984-04-04,43.85217040286215,1984-04-04
1984-06-30,60.35818302339805,1984-06-30
1984-07-01,33.96384939890789,1984-07-01
1984-08-11,46.661187860946214,1984-08-11
1984-11-28,43.429428727581076,1984-11-28
1985-05-02,55.55665897591691,1985-05-02
